id,evidence_type,description,date_collected,status
0,DNA,Wonder music past memory official ten tough course leader matter agree I pay.,2010-03-03,Not Analyzed
1,Blood,Try his sort parent become check share administration table scientist sister head catch.,2007-03-04,Not Analyzed
2,Blood,Answer particular loss ask participant smile sound million difference economy.,2019-07-02,Not Analyzed
3,Fingerprints,Movement someone pull arm feeling cup.,2019-10-21,Not Analyzed
4,DNA,Rise goal dog senior hair key bank manager.,2013-01-20,Analyzed
5,Blood,Wall investment color past reach we.,2017-08-02,Analyzed
6,DNA,Machine list table explain nice especially some produce.,2023-06-29,Analyzed
7,Fingerprints,Class environment if not institution follow.,2010-03-05,Not Analyzed
8,DNA,Among never tend a discover either sea.,2009-03-22,Not Analyzed
9,DNA,Low coach morning behind tonight home later that both.,2013-09-16,Not Analyzed
10,Blood,Campaign cold ever couple education show last production ever board human production by.,2007-11-10,Analyzed
11,Fingerprints,Religious play job let job offer image just seat marriage reflect during.,2010-06-29,Analyzed
12,Blood,Tonight heart factor choose though fly long party remain.,2022-05-25,Not Analyzed
13,Fingerprints,Art impact threat hard trip beat lay.,2020-11-30,Analyzed
14,Fingerprints,Society you few budget now treat box medical study mission lose daughter use.,2013-01-08,Not Analyzed
