id,id_event1,id_location
0,0,7925
1,1,17983
2,2,17647
3,3,8157
4,4,107
5,5,19241
6,6,7600
7,7,19610
8,8,10346
9,9,17421
10,10,1849
11,11,3074
12,12,10911
13,13,19519
14,14,419
15,15,6045
16,16,12522
17,17,7302
18,18,9781
19,19,12933
20,20,10454
21,21,2914
22,22,1708
23,23,4754
24,24,18516
25,25,18608
26,26,13346
27,27,6826
28,28,12713
29,29,7473
30,30,8559
31,31,2650
32,32,6030
33,33,601
34,34,16896
35,35,7165
36,36,6568
37,37,16487
38,38,11808
39,39,11093
40,40,2910
41,41,8516
42,42,17938
43,43,10581
44,44,10017
45,45,1116
46,46,3196
47,47,14569
48,48,10620
49,49,18537
50,50,13801
51,51,12040
52,52,9777
53,53,6972
54,54,3456
55,55,17916
56,56,18168
57,57,4344
58,58,3914
59,59,8396
60,60,15783
61,61,461
62,62,11042
63,63,9280
64,64,15334
65,65,11618
66,66,6776
67,67,10900
68,68,1882
69,69,15754
70,70,9014
71,71,10839
72,72,9405
73,73,13655
74,74,4995
75,75,18295
76,76,1430
77,77,13024
78,78,7487
79,79,13937
80,80,7362
81,81,4743
82,82,9405
83,83,11176
84,84,18699
85,85,15896
86,86,5682
87,87,15320
88,88,17596
89,89,13699
90,90,17596
91,91,1499
92,92,17192
93,93,17718
94,94,16998
95,95,19384
96,96,9300
97,97,14204
98,98,13372
99,99,5852
100,100,19198
101,101,7999
102,102,11324
103,103,9147
104,104,9508
105,105,19506
106,106,13050
107,107,13951
108,108,3564
109,109,8885
110,110,19858
111,111,14108
112,112,11785
113,113,4161
114,114,19101
115,115,4611
116,116,11776
117,117,15749
118,118,14770
119,119,9190
120,120,6694
121,121,5826
122,122,9627
123,123,9702
124,124,18115
125,125,1614
126,126,7066
127,127,3651
128,128,17329
129,129,12156
130,130,7106
131,131,18161
132,132,13871
133,133,8113
134,134,9963
135,135,3452
136,136,6753
137,137,10375
138,138,7030
139,139,6959
140,140,18855
141,141,4336
142,142,18148
143,143,15482
144,144,11150
145,145,11404
146,146,8676
147,147,4209
148,148,5624
149,149,8857
150,150,17026
151,151,12791
152,152,10127
