id,object_id,location_id
0,0,13567
1,1,12986
2,2,6893
3,3,10114
4,4,2327
5,5,12485
6,6,12533
7,7,14158
8,8,11551
9,9,17673
10,10,1434
11,11,13169
12,12,17628
13,13,19620
14,14,1985
15,15,8944
16,16,3092
17,17,1783
18,18,19454
19,19,11917
20,20,2707
21,21,14143
22,22,15439
23,23,12358
24,24,16725
25,25,15360
26,26,4443
27,27,10648
28,28,19763
29,29,12588
30,30,7679
31,31,2483
32,32,12958
33,33,10120
34,34,9069
35,35,11107
36,36,10151
37,37,17833
38,38,6113
39,39,16483
40,40,5898
41,41,7786
42,42,3346
43,43,8529
44,44,3453
45,45,2176
46,46,19597
47,47,14814
48,48,12631
49,49,8721
50,50,13418
51,51,10854
52,52,2173
53,53,11088
54,54,1775
55,55,16293
56,56,11490
57,57,3050
58,58,9162
59,59,16568
60,60,14862
61,61,3280
62,62,14232
63,63,13855
64,64,19118
65,65,19763
66,66,9957
67,67,16682
68,68,1669
69,69,19227
70,70,16529
71,71,19987
72,72,1857
73,73,6850
74,74,8483
75,75,16014
76,76,3514
77,77,19156
78,78,18635
79,79,2940
80,80,4688
81,81,7495
82,82,359
83,83,11330
84,84,13028
85,85,5171
86,86,2382
87,87,19101
88,88,13991
89,89,2475
90,90,10910
91,91,202
92,92,1018
93,93,2108
94,94,7636
95,95,17974
96,96,3495
97,97,19317
98,98,16364
99,99,14307
100,100,2588
101,101,4325
102,102,4978
103,103,18207
104,104,9206
105,105,18426
106,106,3719
107,107,8707
108,108,17982
109,109,15836
110,110,8884
111,111,953
112,112,4623
113,113,12377
114,114,3059
115,115,17602
116,116,17904
117,117,2887
118,118,8004
119,119,794
120,120,7871
121,121,12872
122,122,15689
123,123,1617
124,124,19543
125,125,17000
126,126,5991
127,127,11704
128,128,19025
129,129,6645
130,130,10873
131,131,1303
132,132,7987
133,133,17237
134,134,6761
135,135,4327
136,136,16120
137,137,3949
138,138,12067
139,139,4429
140,140,2191
141,141,8971
142,142,18304
143,143,736
144,144,12515
145,145,4815
146,146,14571
147,147,8731
148,148,1720
149,149,11663
150,150,6705
151,151,16571
152,152,1642
153,153,13941
154,154,16301
155,155,4609
156,156,2818
157,157,15185
158,158,7733
159,159,7100
160,160,19333
161,161,10246
162,162,15284
163,163,1078
164,164,4524
165,165,17054
166,166,6809
167,167,18481
168,168,13272
169,169,8384
170,170,10700
171,171,19750
172,172,8219
173,173,1055
174,174,10914
175,175,18905
176,176,16336
177,177,5260
178,178,1315
179,179,12156
180,180,10631
181,181,13644
182,182,4388
183,183,18915
184,184,13236
185,185,5904
186,186,18033
187,187,12782
188,188,14965
189,189,16591
190,190,16310
191,191,1688
192,192,19362
193,193,823
194,194,12544
195,195,13315
196,196,1787
197,197,13936
198,198,300
199,199,17662
200,200,5137
201,201,17793
202,202,2870
203,203,11519
204,204,5328
205,205,18647
206,206,4105
207,207,12598
208,208,19605
209,209,16112
210,210,17919
211,211,18736
212,212,16828
213,213,15065
214,214,17708
215,215,14509
216,216,11153
217,217,7086
218,218,11321
219,219,4663
220,220,3562
221,221,10749
222,222,16583
223,223,12053
224,224,3052
225,225,14096
226,226,2343
227,227,15936
228,228,4021
229,229,14537
230,230,8216
231,231,17832
232,232,6058
233,233,12543
234,234,15157
235,235,7744
236,236,3987
237,237,9340
238,238,13542
239,239,10800
240,240,5054
241,241,12795
242,242,3743
243,243,10334
244,244,15259
245,245,11375
246,246,9286
247,247,8637
248,248,14489
249,249,14323
250,250,8810
251,251,282
252,252,1224
253,253,5983
254,254,3382
255,255,14327
256,256,10268
257,257,18816
258,258,9126
259,259,11816
260,260,11423
261,261,9745
262,262,11996
263,263,9136
264,264,16294
265,265,12450
266,266,8530
267,267,6531
268,268,7034
269,269,13780
270,270,19699
271,271,15728
272,272,1671
273,273,12859
274,274,1533
275,275,18339
276,276,5254
277,277,7819
278,278,10894
279,279,8600
280,280,13747
281,281,12900
282,282,18112
283,283,18492
284,284,7909
285,285,11774
286,286,7745
287,287,2758
288,288,16368
289,289,14851
290,290,18917
291,291,8785
292,292,10733
293,293,19626
294,294,3405
295,295,4145
296,296,15752
297,297,19933
298,298,5427
299,299,13141
300,300,230
301,301,12445
302,302,1465
303,303,19650
304,304,19504
305,305,5530
306,306,10427
307,307,1382
308,308,14713
309,309,7945
310,310,658
311,311,1511
312,312,8299
313,313,12347
314,314,16282
315,315,1139
316,316,17404
317,317,7080
318,318,17539
319,319,14883
320,320,11706
321,321,14013
322,322,19065
323,323,10439
324,324,4467
325,325,9325
326,326,15003
327,327,19866
328,328,10750
329,329,2120
330,330,16154
331,331,9083
332,332,9572
333,333,16357
334,334,3369
335,335,6654
336,336,19328
337,337,5681
338,338,11693
339,339,1389
340,340,7457
341,341,2260
342,342,16241
343,343,7846
344,344,18476
345,345,12675
346,346,8700
347,347,11501
348,348,1043
349,349,10384
350,350,5673
351,351,1184
352,352,5183
353,353,17276
354,354,18585
355,355,18557
356,356,7659
357,357,16676
358,358,2892
359,359,9695
360,360,4095
361,361,9998
362,362,7790
363,363,17611
364,364,35
365,365,5488
366,366,2007
367,367,10004
368,368,9112
369,369,6350
370,370,5584
371,371,18455
372,372,13675
373,373,3110
374,374,19416
375,375,1934
376,376,13261
377,377,5209
378,378,16261
379,379,17297
380,380,4513
381,381,8458
382,382,19721
383,383,15354
384,384,5558
385,385,19593
386,386,15077
387,387,11346
388,388,4147
389,389,19934
390,390,17644
391,391,16442
392,392,12392
393,393,11806
394,394,13884
395,395,1189
396,396,16219
397,397,7365
398,398,3260
399,399,10698
400,400,1973
401,401,13845
402,402,10711
403,403,16879
404,404,12134
405,405,802
406,406,6031
407,407,4364
408,408,7226
409,409,19493
410,410,10751
411,411,15954
412,412,6381
413,413,7123
414,414,6446
415,415,19840
416,416,8491
417,417,7336
418,418,18720
419,419,12398
420,420,557
421,421,15023
422,422,16483
423,423,14478
424,424,3137
425,425,19795
426,426,15519
427,427,9092
428,428,3020
429,429,11642
430,430,16454
431,431,5985
432,432,9922
433,433,7971
434,434,14781
435,435,6149
436,436,19259
437,437,17315
438,438,276
439,439,19033
440,440,19323
441,441,15898
442,442,11185
443,443,8988
444,444,16727
445,445,16288
446,446,12772
447,447,5855
448,448,12265
449,449,14691
450,450,1407
451,451,11948
452,452,17480
453,453,717
454,454,1421
455,455,620
456,456,13388
457,457,7448
458,458,12471
459,459,916
460,460,11962
461,461,14502
462,462,11404
463,463,13750
464,464,16270
465,465,13858
466,466,8982
467,467,15710
468,468,10175
469,469,14694
470,470,13978
471,471,11433
472,472,11206
473,473,8585
474,474,1198
475,475,15304
476,476,7866
477,477,4529
478,478,15341
479,479,2270
480,480,14866
481,481,899
482,482,2856
483,483,8723
484,484,1113
485,485,14505
486,486,19990
487,487,17202
488,488,4404
489,489,9931
490,490,14163
491,491,19298
492,492,19190
493,493,481
494,494,2296
495,495,823
496,496,3430
497,497,14751
498,498,19707
499,499,19269
500,500,15600
501,501,8726
502,502,2220
503,503,1887
504,504,10472
505,505,18789
506,506,6786
507,507,7572
508,508,19077
509,509,6971
510,510,11715
511,511,18149
512,512,19246
513,513,13469
514,514,16012
515,515,3483
516,516,7946
517,517,2249
518,518,7030
519,519,18677
520,520,12912
521,521,19573
522,522,18663
523,523,3644
524,524,16820
525,525,2802
526,526,9243
527,527,1697
528,528,15942
529,529,9568
530,530,12967
531,531,13778
