incremental_id,type,serial_number,id
0,Gun,4609f60c-b803-41c3-8819-f4e1c0bc9373,67387e97cfcd208495001234
1,Knife,87a8a6c6-ca83-4817-be15-e1a7a9167bc0,67387e97c4ca4238a0001234
2,Ax,0c85cea3-9c99-46ce-a9aa-420524488578,67387e97c81e728d9d001234
3,Ax,881e703c-a792-46e6-b68d-1df859916270,67387e97eccbc87e4b001234
4,Gun,474f4470-3c23-4b3a-b2fd-d5dc75825ebf,67387e97a87ff679a2001234
5,Hammer,29231c42-4d78-42e4-bc01-ffa89a95a3b8,67387e97e4da3b7fbb001234
6,Gun,712d2678-b332-4864-bd9f-dbbe9cbc1346,67387e971679091c5a001234
7,Gun,dc582a12-b7a1-4628-9780-b3f9e9fdd5bc,67387e978f14e45fce001234
8,Gun,19bb1f07-cfee-40b7-8974-02cd7ef39d03,67387e97c9f0f895fb001234
9,Gun,785b8172-97e0-4f0f-9878-913ddaf68f42,67387e9745c48cce2e001234
10,Knife,5009b0b3-a082-4415-9c0b-299d359b3f05,67387e97d3d9446802001234
11,Hammer,521d4621-37b7-4705-ae49-1047b6b94220,67387e976512bd43d9001234
12,Ax,2566690e-d2a2-4ddd-9b57-fe8a2267a865,67387e97c20ad4d76f001234
13,Knife,3316af1a-375b-4020-87d0-86ba988bf14f,67387e97c51ce410c1001234
14,Ax,3ed3bf05-de1b-4de9-9d0a-f7a91005aa99,67387e97aab3238922001234
15,Knife,454e23ff-68c9-4759-b999-df54f12a4621,67387e979bf31c7ff0001234
16,Gun,f951931f-ebd3-4cc2-93d8-0d919d4e8f00,67387e97c74d97b01e001234
17,Gun,58ca8ff1-34c5-4afd-a26f-1af7e6991645,67387e9770efdf2ec9001234
18,Gun,e876b96f-4d5f-4448-ab31-adbdfc597ebe,67387e976f4922f455001234
19,Gun,82618a33-c78e-4777-8558-c12bf31bfee6,67387e971f0e3dad99001234
20,Hammer,9c063a30-0fc1-4b0c-b39d-a2eeb9be2e97,67387e9798f1370821001234
21,Hammer,72c032fb-fcc2-463b-9a29-f97e18ab081e,67387e973c59dc048e001234
22,Gun,05703375-7a60-4662-98f7-23b45895be39,67387e97b6d767d2f8001234
23,Knife,303858f3-9111-4c19-bad7-69961badef5e,67387e9737693cfc74001234
24,Knife,86bbcb62-1e75-4101-bec2-293773e862c4,67387e971ff1de7740001234
25,Knife,67440f3a-2c18-4756-becd-416dd4741e90,67387e978e296a067a001234
26,Ax,aa4078ca-b3a7-4b43-af26-639816cf7e61,67387e974e732ced34001234
27,Knife,2b22ab19-312b-4bc2-8da8-64aa19c469bd,67387e9702e74f10e0001234
28,Ax,e29d3dae-4cbd-4a2b-a4d4-5496305bfe1b,67387e9733e75ff09d001234
29,Knife,7d5638f6-ec16-45b9-9e5d-95f6c81c872e,67387e976ea9ab1baa001234
30,Knife,3ddec1ba-db04-481b-aeeb-5b0d51e8ab39,67387e9734173cb38f001234
31,Gun,ee71d422-e066-44f5-9822-e68f2643e541,67387e97c16a5320fa001234
32,Gun,3fc9eb8f-8fa5-4d9a-ba9b-86533826a833,67387e976364d3f0f4001234
33,Hammer,01bc16a6-9e59-4a76-8edd-a94865e726c2,67387e97182be0c5cd001234
34,Knife,04d5c78b-c4c9-4c1c-b4ba-b98d0de5aa0e,67387e97e369853df7001234
35,Gun,29a02e64-232f-4547-ad60-607cbc1558e1,67387e971c383cd30b001234
36,Hammer,6687d1f5-41a0-4df8-9f1e-46df7b0ddca6,67387e9719ca14e7ea001234
37,Ax,b8bd455b-f8ad-440c-bd3b-858d9573dd94,67387e97a5bfc9e079001234
38,Knife,13a55be4-75a9-48e7-a964-5a10dcf9d4c6,67387e97a5771bce93001234
39,Hammer,4fbe236e-3213-418d-89df-9f02fd9f6dfa,67387e97d67d8ab4f4001234
40,Knife,77f0897e-19bf-4be4-b80d-d8fe42083443,67387e97d645920e39001234
41,Hammer,0c97ca89-248e-4311-8fda-888163414f8e,67387e973416a75f4c001234
42,Hammer,fbff7140-0a03-4f14-b5f2-4e49576f2f09,67387e97a1d0c6e83f001234
43,Ax,e60cd172-d444-4f96-afed-6cd890dded76,67387e9717e62166fc001234
44,Hammer,44e2c38a-6f1a-4e90-8632-ada316573c0d,67387e97f7177163c8001234
45,Ax,5a9ac7c3-2c47-497e-b03c-ba39f0fa2b42,67387e976c8349cc72001234
