id,id_event1,id_event2
0,0,9272
1,0,14291
2,0,13556
3,1,10157
4,1,13252
5,2,7802
6,3,14931
7,3,11132
8,3,19441
9,5,5963
10,6,9049
11,6,11730
12,6,491
13,7,3322
14,7,4660
15,8,17982
16,8,8815
17,8,769
18,9,9459
19,11,12836
20,11,3993
21,11,9550
22,15,4114
23,15,9724
24,16,5195
25,18,2267
26,18,5452
27,18,18269
28,19,17897
29,19,402
30,21,15398
31,21,6566
32,23,9442
33,23,18010
34,23,5284
35,24,7951
36,24,3125
37,25,14935
38,25,13676
39,25,12868
40,26,5440
41,26,6697
42,26,14312
43,27,2935
44,29,18925
45,29,19258
46,30,19569
47,30,12188
48,33,11080
49,33,1961
50,34,7335
51,34,11949
52,35,11071
53,35,3459
54,35,17137
55,36,19315
56,37,1309
57,37,16739
58,37,4786
59,39,3822
60,39,19962
61,40,5423
62,40,7658
63,41,621
64,41,15887
65,41,5737
66,42,7954
67,42,4222
68,43,4509
69,44,6560
70,47,19424
71,48,17744
72,49,8010
73,50,4054
74,51,7178
75,53,18714
76,56,15682
77,56,18668
78,56,4990
79,57,19450
80,57,12042
81,57,13401
82,58,12400
83,58,11904
84,59,821
85,59,7647
86,59,335
87,61,14008
88,61,3631
89,61,7773
90,62,9280
91,62,638
92,63,17134
93,65,18830
94,66,8272
95,66,9381
96,67,17329
97,67,16044
98,67,17708
99,68,12790
100,68,1393
101,68,18759
102,69,4832
103,69,19644
104,69,6914
105,70,19889
106,72,10574
107,72,1654
108,73,17899
109,73,10612
110,74,9576
111,76,2131
112,76,613
113,76,15399
114,77,16082
115,77,13824
116,77,4039
117,78,13485
118,78,17225
119,78,867
120,79,4331
121,79,16527
122,80,7975
123,80,12078
124,81,1609
125,83,1397
126,83,19803
127,84,2911
128,84,11223
129,85,13147
130,86,2701
131,86,7261
132,87,13822
133,87,13809
134,87,8352
135,88,1600
136,88,2969
137,88,9922
138,90,6178
139,92,19420
140,92,7074
141,92,4230
142,93,15298
143,94,8444
144,94,2000
145,95,17436
146,97,16496
147,97,6541
148,97,13234
149,99,19262
150,100,16599
151,100,12967
152,101,18227
153,101,7246
154,104,10405
155,106,16931
156,106,11560
157,106,18571
158,107,717
159,109,12938
160,109,14083
161,109,12274
162,110,18506
163,111,4051
164,111,2209
165,111,398
166,112,4975
167,112,8867
168,113,7189
169,113,1083
170,114,10284
171,114,1882
172,116,19017
173,117,10371
174,118,17483
175,118,11732
176,118,13850
177,119,13735
178,120,17485
179,121,19077
180,122,18292
181,122,15008
182,122,18267
183,123,5121
184,123,4199
185,124,3479
186,124,138
187,126,14955
188,128,9981
189,128,18428
190,128,2048
191,130,4195
192,130,11079
193,130,13718
194,132,14256
195,133,7166
196,133,10048
197,134,10385
198,134,8932
199,134,5153
200,135,6257
201,135,6726
202,136,14046
203,136,61
204,138,2046
205,139,17407
206,140,5070
207,141,2311
208,141,15190
209,141,18857
210,142,17754
211,143,12219
212,144,6372
213,144,7053
214,145,19343
215,145,7210
216,145,7554
217,147,11715
218,148,10683
219,150,6170
220,151,10953
221,152,6824
222,153,14570
223,153,3410
224,153,9517
225,154,1531
226,154,1337
227,154,7986
228,155,19689
229,155,7083
230,155,12652
231,156,14787
232,156,19943
233,157,1369
234,157,11347
235,159,11446
236,159,3419
237,159,3352
238,160,13406
239,160,19428
240,161,17113
241,161,6237
242,162,1613
243,162,6441
244,163,14623
245,164,2000
246,164,5523
247,164,19899
248,165,12806
249,165,6529
250,165,17303
251,166,6747
252,166,16247
253,166,8425
254,169,2003
255,169,13142
256,170,16801
257,171,3786
258,171,19397
259,172,8079
260,172,13031
261,172,1973
262,173,616
263,173,2565
264,173,2541
265,175,11387
266,175,6287
267,175,4046
268,176,3172
269,177,16161
270,177,8426
271,178,12656
272,178,5483
273,178,7202
274,182,1290
275,182,15336
276,182,262
277,184,9629
278,184,13732
279,184,4714
280,185,1686
281,185,4535
282,185,19163
283,187,6112
284,188,17627
285,188,1324
286,188,10506
287,189,15145
288,189,9668
289,189,17825
290,191,3049
291,192,11549
292,192,5137
293,192,8805
294,193,10101
295,193,10157
296,193,11025
297,194,19927
298,195,8323
299,195,19045
300,197,5039
301,198,1699
302,199,3915
303,200,5726
304,201,15332
305,202,18450
306,202,10127
307,202,10071
308,203,18972
309,204,5346
310,204,14957
311,204,17519
312,205,4605
313,206,12357
314,207,14754
315,208,8507
316,208,2092
317,209,6414
318,210,8694
319,210,15381
320,210,223
321,211,19557
322,211,15454
323,211,13639
324,213,14780
325,213,10639
326,215,4143
327,215,152
328,215,13703
329,216,188
330,216,19835
331,216,4309
332,218,11066
333,218,15607
334,219,7385
335,220,3408
336,221,15674
337,221,15198
338,221,8199
339,223,17829
340,224,2710
341,224,6588
342,225,1349
343,225,17986
344,225,3137
345,227,14970
346,227,13779
347,228,12625
348,228,742
349,230,10044
350,230,2485
351,233,16762
352,234,5614
353,235,16247
354,235,6128
355,235,16821
356,237,2803
357,237,3683
358,238,18339
359,239,7317
360,242,15959
361,242,13381
362,242,7060
363,243,14608
364,245,7292
365,245,1623
366,246,7288
367,246,6799
368,247,14519
369,248,7018
370,248,1366
371,249,17707
372,249,3079
373,252,10915
374,252,7593
375,253,1682
376,254,19722
377,255,19907
378,255,6986
379,255,9098
380,256,18544
381,257,10955
382,257,14877
383,262,2415
384,263,16356
385,263,13757
386,263,18126
387,264,12932
388,264,17964
389,264,6715
390,267,13869
391,267,16914
392,267,7205
393,268,15633
394,268,7002
395,268,2818
396,269,6798
397,269,3868
398,272,7407
399,272,8374
400,272,11425
401,273,17116
402,273,5496
403,273,9279
404,275,13913
405,275,4620
406,275,8127
407,276,4413
408,276,1622
409,277,6413
410,277,6532
411,277,2810
412,279,18193
413,280,18506
414,280,18608
415,281,8084
416,281,10410
417,281,4964
418,282,9572
419,282,17355
420,283,4953
421,284,7486
422,284,14348
423,284,13856
424,285,1687
425,285,732
426,286,6884
427,286,19925
428,286,5322
429,287,10881
430,287,11430
431,287,5577
432,289,18034
433,289,14974
434,289,10000
435,290,8453
436,290,16854
437,290,19846
438,291,12908
439,291,7756
440,291,1138
441,292,8535
442,292,4410
443,292,3234
444,294,7551
445,294,15913
446,296,15269
447,297,10399
448,297,7901
449,298,10303
450,299,16164
451,299,12332
452,300,5899
453,302,8071
454,302,18618
455,302,16786
456,303,5617
457,303,5818
458,303,10988
459,304,8623
460,304,8792
461,306,17080
462,306,8147
463,307,7211
464,307,12257
465,308,382
466,309,18606
467,309,17013
468,310,12226
469,310,1365
470,310,17848
471,311,2241
472,311,9023
473,311,12996
474,312,1606
475,312,18873
476,312,18713
477,313,8550
478,313,16200
479,314,10812
480,314,11910
481,314,15616
482,316,17724
483,316,5784
484,316,18294
485,318,10797
486,318,13850
487,319,4561
488,319,16814
489,319,15147
490,320,9955
491,320,13846
492,320,13006
493,322,19658
494,322,18489
495,323,10677
496,323,3081
497,324,18702
498,325,7812
499,325,12205
500,325,12180
501,327,18963
502,327,14665
503,328,6133
504,329,1790
505,329,18425
506,332,13330
507,332,9385
508,332,11087
509,334,6773
510,334,17359
511,335,15036
512,335,4338
513,336,7056
514,336,14393
515,336,14280
516,337,7213
517,337,19461
518,340,14664
519,340,3032
520,344,17157
521,344,19488
522,346,15310
523,346,16091
524,346,12084
525,347,1641
526,347,7462
527,347,16475
528,348,7264
529,348,17907
530,348,14524
531,349,4557
532,350,7528
533,352,7719
534,353,17857
535,355,19713
536,356,13134
537,356,19315
538,356,12431
539,357,206
540,359,7380
541,359,16455
542,359,16530
543,361,13444
544,362,14248
545,362,1953
546,362,5457
547,363,11965
548,364,13520
549,365,294
550,365,13497
551,365,2527
552,366,13749
553,366,1132
554,366,2500
555,367,5094
556,367,686
557,368,13118
558,368,14994
559,368,16026
560,369,12227
561,369,48
562,369,10280
563,370,15565
564,371,8485
565,371,690
566,371,14385
567,374,2617
568,374,5570
569,375,2772
570,378,4397
571,379,7385
572,379,14600
573,381,8055
574,381,10409
575,381,7762
576,382,17360
577,382,3335
578,382,16411
579,383,4484
580,383,15280
581,384,7086
582,385,7892
583,385,19949
584,385,4979
585,386,3367
586,387,6836
587,387,3080
588,388,13429
589,388,18451
590,389,16354
591,389,6201
592,390,3832
593,390,18820
594,393,5338
595,394,12177
596,394,3564
597,394,18318
598,397,14545
599,397,1064
600,399,4609
601,400,12372
602,400,995
603,401,17187
604,401,2170
605,402,4759
606,402,16745
607,402,15265
608,403,14999
609,403,2098
610,403,3642
611,404,405
612,404,13363
613,405,8669
614,407,7316
615,407,96
616,407,7805
617,408,3813
618,408,9514
619,409,5784
620,409,3071
621,410,9780
622,411,12329
623,411,4152
624,412,14385
625,412,6686
626,413,9244
627,416,1790
628,416,17481
629,416,8851
630,417,14825
631,417,10573
632,419,3008
633,420,16831
634,421,3817
635,421,3381
636,421,3135
637,422,2182
638,422,16541
639,424,18208
640,424,15905
641,424,15357
642,425,8296
643,425,4629
644,426,13300
645,427,14786
646,428,4533
647,428,15341
648,428,618
649,429,16309
650,429,3129
651,429,16306
652,431,2459
653,431,18884
654,432,439
655,432,13997
656,433,11136
657,433,3924
658,433,9943
659,434,15545
660,435,7045
661,436,16554
662,436,677
663,436,19408
664,437,14712
665,437,7217
666,437,2890
667,438,5129
668,438,197
669,439,11301
670,440,14615
671,443,15814
672,443,12050
673,444,10236
674,444,15101
675,445,18677
676,445,3967
677,445,6922
678,447,16328
679,448,1207
680,448,3188
681,450,9472
682,451,4475
683,451,1397
684,453,15774
685,453,18656
686,453,88
687,455,17705
688,456,3277
689,457,16694
690,458,7912
691,460,416
692,460,17685
693,460,7893
694,462,19288
695,462,7313
696,464,12300
697,465,9886
698,465,5492
699,466,19675
700,467,8830
701,468,3291
702,468,3438
703,469,326
704,469,2041
705,470,2998
706,471,16375
707,472,749
708,472,12916
709,472,1203
710,473,4311
711,473,185
712,473,16953
713,474,11606
714,474,4986
715,474,13400
716,475,11337
717,475,18933
718,477,3938
719,478,12009
720,481,8775
721,481,16944
722,481,17547
723,482,11908
724,483,2436
725,483,594
726,484,17325
727,485,14538
728,486,13843
729,486,16409
730,486,2066
731,487,9067
732,487,4538
733,487,2839
734,488,6350
735,488,3154
736,489,12769
737,490,17313
738,490,17216
739,491,4463
740,491,16527
741,492,2140
742,492,307
743,494,11940
744,495,3148
745,496,14350
746,496,11465
747,498,3337
748,499,16177
749,499,10404
750,499,17558
751,500,9216
752,503,13345
753,503,15618
754,504,5315
755,506,14247
756,506,11442
757,507,13816
758,507,7166
759,509,1844
760,510,7789
761,510,1671
762,511,9173
763,511,2260
764,511,877
765,512,4685
766,514,5769
767,514,15314
768,514,5124
769,515,11226
770,515,1251
771,517,6417
772,517,1102
773,519,3219
774,519,1001
775,521,2897
